ID,Name,ImgPath,InList,Caught,Order
7521,G-Max Machamp,Machamp-Gmax,true,true,105
69,Bellsprout,Bellsprout,true,true,106
70,Weepinbell,Weepinbell,true,true,107
71,Victreebel,Victreebel,true,true,108
72,Tentacool,Tentacool,true,true,109
73,Tentacruel,Tentacruel,true,true,110
74,Geodude,Geodude,true,true,111
8004,Alolan Geodude,Geodude-Alola,true,true,112
75,Graveler,Graveler,true,true,113
8006,Alolan Graveler,Graveler-Alola,true,true,114
76,Golem,Golem,true,true,115
8005,Alolan Golem,Golem-Alola,true,true,116
77,Ponyta,Ponyta,true,true,117
8508,Galarian Ponyta,Ponyta-Galar,true,true,118
78,Rapidash,Rapidash,true,true,119
8509,Galarian Rapidash,Rapidash-Galar,true,true,120
79,Slowpoke,Slowpoke,true,true,121
8511,Galarian Slowpoke,Slowpoke-Galar,true,true,122
80,Slowbro,Slowbro,true,true,123
8510,Galarian Slowbro,Slowbro-Galar,true,true,124
7043,Mega Slowbro,Slowbro-Mega,false,false,10015
81,Magnemite,Magnemite,true,true,125
82,Magneton,Magneton,true,true,126
83,Farfetch'd,Farfetchd,true,true,127
8504,Galarian Farfetch'd,Farfetchd-Galar,true,true,128
84,Doduo,Doduo,true,true,129
5013,Doduo (Female),Doduo,true,true,130
85,Dodrio,Dodrio,true,true,131
5014,Dodrio (Female),Dodrio,true,true,132
86,Seel,Seel,true,true,133
87,Dewgong,Dewgong,true,true,134
88,Grimer,Grimer,true,true,135
8007,Alolan Grimer,Grimer-Alola,true,true,136
89,Muk,Muk,true,true,137
8010,Alolan Muk,Muk-Alola,true,true,138
90,Shellder,Shellder,true,true,139
91,Cloyster,Cloyster,true,true,140
92,Gastly,Gastly,true,true,141
93,Haunter,Haunter,true,true,142
94,Gengar,Gengar,true,true,143
7515,G-Max Gengar,Gengar-Gmax,true,true,144
7019,Mega Gengar,Gengar-Mega,false,false,10016
95,Onix,Onix,true,true,145
96,Drowzee,Drowzee,true,true,146
97,Hypno,Hypno,true,true,147
5015,Hypno (Female),Hypno,true,true,148
98,Krabby,Krabby,true,true,149
99,Kingler,Kingler,true,true,150
7519,G-Max Kingler,Kingler-Gmax,true,true,151
100,Voltorb,Voltorb,true,true,152
101,Electrode,Electrode,true,true,153
102,Exeggcute,Exeggcute,true,true,154
103,Exeggutor,Exeggutor,true,true,155
8003,Alolan Exeggutor,Exeggutor-Alola,true,true,156
104,Cubone,Cubone,true,true,157
105,Marowak,Marowak,true,true,158
8008,Alolan Marowak,Marowak-Alola,true,true,159
106,Hitmonlee,Hitmonlee,true,true,160
107,Hitmonchan,Hitmonchan,true,true,161
108,Lickitung,Lickitung,true,true,162
109,Koffing,Koffing,true,true,163
110,Weezing,Weezing,true,true,164
8513,Galarian Weezing,Weezing-Galar,true,true,165
111,Rhyhorn,Rhyhorn,true,true,166
5016,Rhyhorn (Female),Rhyhorn,true,true,167
112,Rhydon,Rhydon,true,true,168
5017,Rhydon (Female),Rhydon,true,true,169
113,Chansey,Chansey,true,true,170
114,Tangela,Tangela,true,true,171
115,Kangaskhan,Kangaskhan,true,true,172
7024,Mega Kangaskhan,Kangaskhan-Mega,false,false,10017
116,Horsea,Horsea,true,true,173
117,Seadra,Seadra,true,true,174
118,Goldeen,Goldeen,true,true,175
5018,Goldeen (Female),Goldeen,true,true,176
119,Seaking,Seaking,true,true,177
5019,Seaking (Female),Seaking,true,true,178
120,Staryu,Staryu,true,true,179
121,Starmie,Starmie,true,true,180
122,Mr. Mime,Mr-Mime,true,true,181
8507,Galarian Mr. Mime,Mr-Mime-Galar,true,true,182
123,Scyther,Scyther,true,true,183
5020,Scyther (Female),Scyther,true,true,184
124,Jynx,Jynx,true,true,185
125,Electabuzz,Electabuzz,true,true,186
126,Magmar,Magmar,true,true,187
127,Pinsir,Pinsir,true,true,188
7036,Mega Pinsir,Pinsir-Mega,false,false,10018
128,Tauros,Tauros,true,true,189
129,Magikarp,Magikarp,true,true,190
5021,Magikarp (Female),Magikarp,true,true,191
130,Gyarados,Gyarados,true,true,192
5022,Gyarados (Female),Gyarados,true,true,193
7021,Mega Gyarados,Gyarados-Mega,false,false,10019
131,Lapras,Lapras,true,true,194
7520,G-Max Lapras,Lapras-Gmax,true,true,195
132,Ditto,Ditto,true,true,196
133,Eevee,Eevee,true,true,197
5023,Eevee (Female),Eevee,true,true,198
7511,G-Max Eevee,Eevee-Gmax,true,true,199
6013,Eevee (Starter),Eevee-Starter,false,false,10020
134,Vaporeon,Vaporeon,true,true,200
135,Jolteon,Jolteon,true,true,201
136,Flareon,Flareon,true,true,202
137,Porygon,Porygon,true,true,203
138,Omanyte,Omanyte,true,true,204
139,Omastar,Omastar,true,true,205
140,Kabuto,Kabuto,true,true,206
141,Kabutops,Kabutops,true,true,207
142,Aerodactyl,Aerodactyl,true,true,208
7003,Mega Aerodactyl,Aerodactyl-Mega,false,false,10021
143,Snorlax,Snorlax,true,true,209
7527,G-Max Snorlax,Snorlax-Gmax,true,true,210
144,Articuno,Articuno,true,true,211
145,Zapdos,Zapdos,true,true,212
146,Moltres,Moltres,true,true,213
147,Dratini,Dratini,true,true,214
148,Dragonair,Dragonair,true,true,215
149,Dragonite,Dragonite,true,true,216
150,Mewtwo,Mewtwo,true,true,217
7033,Mega Mewtwo-X,Mewtwo-Mega-X,false,false,10022
7034,Mega Mewtwo-Y,Mewtwo-Mega-Y,false,false,10023
151,Mew,Mew,true,true,218
152,Chikorita,Chikorita,true,true,219
153,Bayleef,Bayleef,true,true,220
154,Meganium,Meganium,true,true,221
5024,Meganium (Female),Meganium,true,true,222
155,Cyndaquil,Cyndaquil,true,true,223
156,Quilava,Quilava,true,true,224
157,Typhlosion,Typhlosion,true,true,225
158,Totodile,Totodile,true,true,226
159,Croconaw,Croconaw,true,true,227
160,Feraligatr,Feraligatr,true,true,228
161,Sentret,Sentret,true,true,229
162,Furret,Furret,true,true,230
163,Hoothoot,Hoothoot,true,true,231
164,Noctowl,Noctowl,true,true,232
165,Ledyba,Ledyba,true,true,233
5025,Ledyba (Female),Ledyba,true,true,234
166,Ledian,Ledian,true,true,235
5026,Ledian (Female),Ledian,true,true,236
167,Spinarak,Spinarak,true,true,237
168,Ariados,Ariados,true,true,238
169,Crobat,Crobat,true,true,239
170,Chinchou,Chinchou,true,true,240
171,Lanturn,Lanturn,true,true,241
172,Pichu,Pichu,true,true,242
6053,Spiky Eared Pichu,Pichu-Spiky-Eared,false,false,10024
173,Cleffa,Cleffa,true,true,243
174,Igglybuff,Igglybuff,true,true,244
175,Togepi,Togepi,true,true,245
176,Togetic,Togetic,true,true,246
177,Natu,Natu,true,true,247
178,Xatu,Xatu,true,true,248
5027,Xatu (Female),Xatu,true,true,249
179,Mareep,Mareep,true,true,250
180,Flaaffy,Flaaffy,true,true,251
181,Ampharos,Ampharos,true,true,252
7007,Mega Ampharos,Ampharos-Mega,false,false,10025
182,Bellossom,Bellossom,true,true,253
183,Marill,Marill,true,true,254
184,Azumarill,Azumarill,true,true,255
185,Sudowoodo,Sudowoodo,true,true,256
5028,Sudowoodo (Female),Sudowoodo,true,true,257
186,Politoed,Politoed,true,true,258
5029,Politoed (Female),Politoed,true,true,259
187,Hoppip,Hoppip,true,true,260
188,Skiploom,Skiploom,true,true,261
189,Jumpluff,Jumpluff,true,true,262
190,Aipom,Aipom,true,true,263
5030,Aipom (Female),Aipom,true,true,264
191,Sunkern,Sunkern,true,true,265
192,Sunflora,Sunflora,true,true,266
193,Yanma,Yanma,true,true,267
194,Wooper,Wooper,true,true,268
5031,Wooper (Female),Wooper,true,true,269
195,Quagsire,Quagsire,true,true,270
5032,Quagsire (female),Quagsire,true,true,271
196,Espeon,Espeon,true,true,272
197,Umbreon,Umbreon,true,true,273
198,Murkrow,Murkrow,true,true,274
5033,Murkrow (Female),Murkrow,true,true,275
199,Slowking,Slowking,true,true,276
200,Misdreavus,Misdreavus,true,true,277
201,Unown-A,Unown,true,true,278
9401,Unown-B,unown-b,true,true,279
9402,Unown-C,unown-c,true,true,280
9403,Unown-D,unown-d,true,true,281
9404,Unown-E,unown-e,true,true,282
9405,Unown-!,unown-exclamation,true,true,283
9406,Unown-F,unown-f,true,true,284
9407,Unown-G,unown-g,true,true,285
9408,Unown-H,unown-h,true,true,286
9409,Unown-I,unown-i,true,true,287
9410,Unown-J,unown-j,true,true,288
9411,Unown-K,unown-k,true,true,289
9412,Unown-L,unown-l,true,true,290
9413,Unown-M,unown-m,true,true,291
9414,Unown-N,unown-n,true,true,292
9415,Unown-O,unown-o,true,true,293
9416,Unown-P,unown-p,true,true,294
9417,Unown-Q,unown-q,true,true,295
9418,Unown-?,unown-question,true,true,296
9419,Unown-R,unown-r,true,true,297
9420,Unown-S,unown-s,true,true,298
9421,Unown-T,unown-t,true,true,299
9422,Unown-U,unown-u,true,true,300
9423,Unown-V,unown-v,true,true,301
9424,Unown-W,unown-w,true,true,302
9425,Unown-X,unown-x,true,true,303
9426,Unown-Y,unown-y,true,true,304
9427,Unown-Z,unown-z,true,true,305
202,Wobbuffet,Wobbuffet,true,true,306
5034,Wobbuffet (Female),Wobbuffet,true,true,307
203,Girafarig,Girafarig,true,true,308
5035,Girafarig (Female),Girafarig,true,true,309
204,Pineco,Pineco,true,true,310
205,Forretress,Forretress,true,true,311
206,Dunsparce,Dunsparce,true,true,312
207,Gligar,Gligar,true,true,313
5036,Gligar (Female),Gligar,true,true,314
208,Steelix,Steelix,true,true,315
5037,Steelix (Female),Steelix,true,true,316
7044,Mega Steelix,Steelix-Mega,false,false,10026
209,Snubbull,Snubbull,true,true,317
210,Granbull,Granbull,true,true,318
211,Qwilfish,Qwilfish,true,true,319
212,Scizor,Scizor,true,true,320
5038,Scizor (Female),Scizor,true,true,321
7041,Mega Scizor,Scizor-Mega,false,false,10027
213,Shuckle,Shuckle,true,true,322
214,Heracross,Heracross,true,true,323
5039,Heracross (Female),Heracross,true,true,324
7022,Mega Heracross,Heracross-Mega,false,false,10028
215,Sneasel,Sneasel,true,true,325
5040,Sneasel (Female),Sneasel,true,true,326
216,Teddiursa,Teddiursa,true,true,327
217,Ursaring,Ursaring,true,true,328
5041,Ursaring (Female),Ursaring,true,true,329
218,Slugma,Slugma,true,true,330
219,Magcargo,Magcargo,true,true,331
220,Swinub,Swinub,true,true,332
221,Piloswine,Piloswine,true,true,333
5042,Piloswine (Female),Piloswine,true,true,334
222,Corsola,Corsola,true,true,335
8501,Galarian Corsola,Corsola-Galar,true,true,336
223,Remoraid,Remoraid,true,true,337
224,Octillery,Octillery,true,true,338
5043,Octillery (Female),Octillery,true,true,339
225,Delibird,Delibird,true,true,340
226,Mantine,Mantine,true,true,341
227,Skarmory,Skarmory,true,true,342
228,Houndour,Houndour,true,true,343
229,Houndoom,Houndoom,true,true,344
5044,Houndoom (Female),Houndoom,true,true,345
7023,Mega Houndoom,Houndoom-Mega,false,false,10029
230,Kingdra,Kingdra,true,true,346
231,Phanpy,Phanpy,true,true,347
232,Donphan,Donphan,true,true,348
5045,Donphan (Female),Donphan,true,true,349
233,Porygon2,Porygon2,true,true,350
234,Stantler,Stantler,true,true,351
235,Smeargle,Smeargle,true,true,352
236,Tyrogue,Tyrogue,true,true,353
237,Hitmontop,Hitmontop,true,true,354
238,Smoochum,Smoochum,true,true,355
239,Elekid,Elekid,true,true,356
240,Magby,Magby,true,true,357
241,Miltank,Miltank,true,true,358
242,Blissey,Blissey,true,true,359
243,Raikou,Raikou,true,true,360
244,Entei,Entei,true,true,361
245,Suicune,Suicune,true,true,362
246,Larvitar,Larvitar,true,true,363
247,Pupitar,Pupitar,true,true,364
248,Tyranitar,Tyranitar,true,true,365
7045,Mega Tyranitar,Tyranitar-Mega,false,false,10030
249,Lugia,Lugia,true,true,366
250,Ho-Oh,Ho-Oh,true,true,367
251,Celebi,Celebi,true,true,368
252,Treecko,Treecko,true,true,369
253,Grovyle,Grovyle,true,true,370
254,Sceptile,Sceptile,true,true,371
7040,Mega Sceptile,Sceptile-Mega,false,false,10031
255,Torchic,Torchic,true,true,372
5046,Torchic (Female),Torchic,true,true,373
256,Combusken,Combusken,true,true,374
5047,Combusken (Female),Combusken,true,true,375
257,Blaziken,Blaziken,true,true,376
5048,Blaziken (Female),Blaziken,true,true,377
7012,Mega Blaziken,Blaziken-Mega,false,false,10032
258,Mudkip,Mudkip,true,true,378
259,Marshtomp,Marshtomp,true,true,379
260,Swampert,Swampert,true,true,380
7048,Mega Swampert,Swampert-Mega,false,false,10033
261,Poochyena,Poochyena,true,true,381
262,Mightyena,Mightyena,true,true,382
263,Zigzagoon,Zigzagoon,true,true,383
8515,Galarian Zigzagoon,Zigzagoon-Galar,true,true,384
264,Linoone,Linoone,true,true,385
8505,Galarian Linoone,Linoone-Galar,true,true,386
265,Wurmple,Wurmple,true,true,387
266,Silcoon,Silcoon,true,true,388
267,Beautifly,Beautifly,true,true,389
5049,Beautifly (Female),Beautifly,true,true,390
268,Cascoon,Cascoon,true,true,391
269,Dustox,Dustox,true,true,392
5050,Dustox (Female),Dustox,true,true,393
270,Lotad,Lotad,true,true,394
271,Lombre,Lombre,true,true,395
272,Ludicolo,Ludicolo,true,true,396
5051,Ludicolo (Female),Ludicolo,true,true,397
273,Seedot,Seedot,true,true,398
274,Nuzleaf,Nuzleaf,true,true,399
5052,Nuzleaf (Female),Nuzleaf,true,true,400
275,Shiftry,Shiftry,true,true,401
5053,Shiftry (Female),Shiftry,true,true,402
276,Taillow,Taillow,true,true,403
277,Swellow,Swellow,true,true,404
278,Wingull,Wingull,true,true,405
279,Pelipper,Pelipper,true,true,406
280,Ralts,Ralts,true,true,407
281,Kirlia,Kirlia,true,true,408
282,Gardevoir,Gardevoir,true,true,409
7047,Mega Gardevoir,Gardevoir-Mega,false,false,10034
283,Surskit,Surskit,true,true,410
284,Masquerain,Masquerain,true,true,411
285,Shroomish,Shroomish,true,true,412
286,Breloom,Breloom,true,true,413
287,Slakoth,Slakoth,true,true,414
288,Vigoroth,Vigoroth,true,true,415
289,Slaking,Slaking,true,true,416
290,Nincada,Nincada,true,true,417
291,Ninjask,Ninjask,true,true,418
292,Shedinja,Shedinja,true,true,419
293,Whismur,Whismur,true,true,420
294,Loudred,Loudred,true,true,421
295,Exploud,Exploud,true,true,422
296,Makuhita,Makuhita,true,true,423
297,Hariyama,Hariyama,true,true,424
298,Azurill,Azurill,true,true,425
299,Nosepass,Nosepass,true,true,426
300,Skitty,Skitty,true,true,427
301,Delcatty,Delcatty,true,true,428
302,Sableye,Sableye,true,true,429
7038,Mega Sableye,Sableye-Mega,false,false,10035
303,Mawile,Mawile,true,true,430
7030,Mega Mawile,Mawile-Mega,false,false,10036
304,Aron,Aron,true,true,431
305,Lairon,Lairon,true,true,432
306,Aggron,Aggron,true,true,433
7004,Mega Aggron,Aggron-Mega,false,false,10037
307,Meditite,Meditite,true,true,434
5054,Meditite (Female),Meditite,true,true,435
308,Medicham,Medicham,true,true,436
5055,Medicham (Female),Medicham,true,true,437
7031,Mega Medicham,Medicham-Mega,false,false,10038
309,Electrike,Electrike,true,true,438
310,Manectric,Manectric,true,true,439
7029,Mega Manetric,Manetric-Mega,false,false,10039
311,Plusle,Plusle,true,true,440
312,Minun,Minun,true,true,441
313,Volbeat,Volbeat,true,true,442
314,Illumise,Illumise,true,true,443
315,Roselia,Roselia,true,true,444
5056,Roselia (Female),Roselia,true,true,445
316,Gulpin,Gulpin,true,true,446
5057,Gulpin (Female),Gulpin,true,true,447
317,Swalot,Swalot,true,true,448
5058,Swalot (Female),Swalot,true,true,449
318,Carvanha,Carvanha,true,true,450
319,Sharpedo,Sharpedo,true,true,451
7042,Mega Sharpedo,Sharpedo-Mega,false,false,10040
320,Wailmer,Wailmer,true,true,452
321,Wailord,Wailord,true,true,453
322,Numel,Numel,true,true,454
5059,Numel (Female),Numel,true,true,455
323,Camerupt,Camerupt,true,true,456
5060,Camerupt (Female),Camerupt,true,true,457
7013,Mega Camerupt,Camerupt-Mega,false,false,10041
324,Torkoal,Torkoal,true,true,458
325,Spoink,Spoink,true,true,459
326,Grumpig,Grumpig,true,true,460
327,Spinda,Spinda,true,true,461
328,Trapinch,Trapinch,true,true,462
329,Vibrava,Vibrava,true,true,463
330,Flygon,Flygon,true,true,464
331,Cacnea,Cacnea,true,true,465
332,Cacturne,Cacturne,true,true,466
5061,Cacturne (Female),Cacturne,true,true,467
333,Swablu,Swablu,true,true,468
334,Altaria,Altaria,true,true,469
7006,Mega Altaria,Altaria-Mega,false,false,10042
335,Zangoose,Zangoose,true,true,470
336,Seviper,Seviper,true,true,471
337,Lunatone,Lunatone,true,true,472
338,Solrock,Solrock,true,true,473
339,Barboach,Barboach,true,true,474
340,Whiscash,Whiscash,true,true,475
341,Corphish,Corphish,true,true,476
342,Crawdaunt,Crawdaunt,true,true,477
343,Baltoy,Baltoy,true,true,478
344,Claydol,Claydol,true,true,479
345,Lileep,Lileep,true,true,480
346,Cradily,Cradily,true,true,481
347,Anorith,Anorith,true,true,482
348,Armaldo,Armaldo,true,true,483
349,Feebas,Feebas,true,true,484
350,Milotic,Milotic,true,true,485
5062,Milotic (Female),Milotic,true,true,486
351,Castform,Castform,true,true,487
6004,Castform (Rainy),Castform-Rainy,false,false,10043
6005,Castform (Snowy),Castform-Snowy,false,false,10044
6006,Castform (Sunny),Castform-Sunny,false,false,10045
352,Kecleon,Kecleon,true,true,488
353,Shuppet,Shuppet,true,true,489
354,Banette,Banette,true,true,490
7009,Mega Banette,Banette-Mega,false,false,10046
355,Duskull,Duskull,true,true,491
356,Dusclops,Dusclops,true,true,492
357,Tropius,Tropius,true,true,493
358,Chimecho,Chimecho,true,true,494
359,Absol,Absol,true,true,495
7002,Mega Absol,Absol-Mega,false,false,10047
360,Wynaut,Wynaut,true,true,496
361,Snorunt,Snorunt,true,true,497
362,Glalie,Glalie,true,true,498
7020,Mega Glalie,Glalie-Mega,false,false,10048
363,Spheal,Spheal,true,true,499
364,Sealeo,Sealeo,true,true,500
365,Walrein,Walrein,true,true,501
366,Clamperl,Clamperl,true,true,502
367,Huntail,Huntail,true,true,503
368,Gorebyss,Gorebyss,true,true,504
369,Relicanth,Relicanth,true,true,505
5063,Relicanth (Female),Relicanth,true,true,506
370,Luvdisc,Luvdisc,true,true,507
371,Bagon,Bagon,true,true,508
372,Shelgon,Shelgon,true,true,509
373,Salamence,Salamence,true,true,510
7039,Mega Salamance,Salamance-Mega,false,false,10049
374,Beldum,Beldum,true,true,511
375,Metang,Metang,true,true,512
376,Metagross,Metagross,true,true,513
7032,Mega Metagross,Metagross-Mega,false,false,10050
377,Regirock,Regirock,true,true,514
378,Regice,Regice,true,true,515
379,Registeel,Registeel,true,true,516
380,Latias,Latias,true,true,517
7025,Mega Latias,Latias-Mega,false,false,10051
381,Latios,Latios,true,true,518
7026,Mega Latios,Latios-Mega,false,false,10052
382,Kyogre,Kyogre,true,true,519
6092,Primal Kyogre,Kyogre-Primal,false,false,10053
383,Groudon,Groudon,true,true,520
383,Primal Groudon,Groudon-Primal,false,false,10054
384,Rayquaza,Rayquaza,true,true,521
7037,Mega Rayquaza,Rayquaza-Mega,false,false,10055
385,Jirachi,Jirachi,true,true,522
386,Deoxys,Deoxys,true,true,523
6010,Deoxys (Attack),Deoxys-Attack,true,true,524
6011,Deoxys (Defense),Deoxys-Defense,true,true,525
6012,Deoxys (Speed),Deoxys-Speed,true,true,526
387,Turtwig,Turtwig,true,true,527
388,Grotle,Grotle,true,true,528
389,Torterra,Torterra,true,true,529
390,Chimchar,Chimchar,true,true,530
391,Monferno,Monferno,true,true,531
392,Infernape,Infernape,true,true,532
393,Piplup,Piplup,true,true,533
394,Prinplup,Prinplup,true,true,534
395,Empoleon,Empoleon,true,true,535
396,Starly,Starly,true,true,536
5064,Starly (Female),Starly,true,true,537
397,Staravia,Staravia,true,true,538
5065,Staravia (Female),Staravia,true,true,539
398,Staraptor,Staraptor,true,true,540
5066,Staraptor (Female),Staraptor,true,true,541
399,Bidoof,Bidoof,true,true,542
5067,Bidoof (Female),Bidoof,true,true,543
400,Bibarel,Bibarel,true,true,544
5068,Bibarel (Female),Bibarel,true,true,545
401,Kricketot,Kricketot,true,true,546
5069,Kricketot (Female),Kricketot,true,true,547
402,Kricketune,Kricketune,true,true,548
5070,Kricketune (Female),Kricketune,true,true,549
403,Shinx,Shinx,true,true,550
5071,Shinx (Female),Shinx,true,true,551
404,Luxio,Luxio,true,true,552
5072,Luxio (Female),Luxio,true,true,553
405,Luxray,Luxray,true,true,554
5073,Luxray (Female),Luxray,true,true,555
406,Budew,Budew,true,true,556
407,Roserade,Roserade,true,true,557
5074,Roserade (Female),Roserade,true,true,558
408,Cranidos,Cranidos,true,true,559
409,Rampardos,Rampardos,true,true,560
410,Shieldon,Shieldon,true,true,561
411,Bastiodon,Bastiodon,true,true,562
412,Burmy (Plant),Burmy,true,true,563
6002,Burmy (Sandy),Burmy-Sandy,true,true,564
6003,Burmy (Trash),Burmy-Trash,true,true,565
413,Wormadam (Plant),Wormadam,true,true,566
6084,Wormadam (Sandy),Wormadam-Sandy,true,true,567
6085,Wormadam (Trash),Wormadam-Trash,true,true,568
414,Mothim,Mothim,true,true,569
415,Combee,Combee,true,true,570
5075,Combee (Female),Combee,true,true,571
416,Vespiquen,Vespiquen,true,true,572
417,Pachirisu,Pachirisu,true,true,573
5076,Pachirisu (Female),Pachirisu,true,true,574
418,Buizel,Buizel,true,true,575
5077,Buizel (Female),Buizel,true,true,576
419,Floatzel,Floatzel,true,true,577
5078,Floatzel (Female),Floatzel,true,true,578
420,Cherubi,Cherubi,true,true,579
421,Cherrim,Cherrim,true,true,580
422,Shellos (West),Shellos,true,true,581
6080,Shellos (East),Shellos-East,true,true,582
423,Gastrodon (West),Gastrodon,true,true,583
6026,Gastrodon (East),Gastrodon-East,true,true,584
424,Ambipom,Ambipom,true,true,585
5079,Ambipom (Female),Ambipom,true,true,586
425,Drifloon,Drifloon,true,true,587
426,Drifblim,Drifblim,true,true,588
427,Buneary,Buneary,true,true,589
